imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
outputImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	46	50	0.0184	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		21	50	0.0084	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		16	50	0.0064	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		10	50	0.004	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		77	50	0.0308	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		13	50	0.0052	7	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		68	50	0.0272	7	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	659	50	0.2636	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		46	50	0.0184	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		728	50	0.2912	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		21	50	0.0084	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		16	50	0.0064	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		27	50	0.0108	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		10	50	0.004	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	8		77	50	0.0308	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	9		13	50	0.0052	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	10		68	50	0.0272	10	1	0	0	1534 x 1024	1	31-May-2017
imgName 	 coralLabel 	 coralStatus 	 AreaPix^2 	 pixTocm 	 AreaCM^2 	CoralsFoundInImage 	 CoralsKeptInImage 	 CoralsRejectedInImage 	 CoralsManuallyAddedToImage 	OriginalImgSize 	 resizeFactor 	 dateSaved 
testImage	1	Automatically Found	659	50	0.2636	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	2		46	50	0.0184	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	3		728	50	0.2912	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	4		21	50	0.0084	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	5		16	50	0.0064	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	6		27	50	0.0108	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	7		10	50	0.004	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	8		77	50	0.0308	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	9		13	50	0.0052	10	1	0	0	1534 x 1024	1	31-May-2017
testImage	10		68	50	0.0272	10	1	0	0	1534 x 1024	1	31-May-2017
